order_id,order_date,supplier_id,product_id,category,region,quantity_ordered,unit_cost,promised_lead_time_days,actual_lead_time_days,defect_rate_pct,stock_on_hand,avg_daily_demand,demand_std_dev,reorder_point
ORD_000017,2023-08-05,SUP_012,PRD_0007,Electronics,North,216,146.19,16,17,6.4,223,16.4,3.26,134
ORD_000018,2023-03-13,SUP_008,PRD_0032,Electronics,West,291,21.39,16,16,5.22,1107,50.5,14.55,80
ORD_000019,2023-03-27,SUP_004,PRD_0052,Electronics,South,204,2.43,16,17,3.12,931,18.5,10.6,162
ORD_000020,2023-12-05,SUP_005,PRD_0028,Electronics,Central,287,14.07,18,18,2.51,102,35.9,7.79,155
ORD_000021,2023-03-22,SUP_002,PRD_0024,Electronics,Central,44,135.69,4,11,1.88,245,56.6,8.76,168
ORD_000022,2023-11-01,SUP_007,PRD_0085,Pharma,Central,277,64.64,4,5,2.09,1371,43.5,3.96,121
ORD_000023,2023-03-09,SUP_015,PRD_0097,Electronics,North,244,124.99,12,13,4.5,204,6.2,3.59,87
ORD_000024,2023-03-09,SUP_015,PRD_0032,FMCG,East,90,88.76,14,18,4.35,619,37.5,14.81,187
ORD_000025,2023-09-28,SUP_009,PRD_0039,Electronics,South,145,24.85,3,5,0.86,1133,11.0,4.59,73
ORD_000026,2023-06-25,SUP_014,PRD_0034,Pharma,West,138,181.26,9,11,6.77,189,38.8,12.53,31
ORD_000027,2023-01-02,SUP_011,PRD_0034,Apparel,West,292,141.72,13,15,4.49,229,6.4,13.31,58
ORD_000028,2023-10-07,SUP_010,PRD_0071,Apparel,West,75,10.28,4,8,2.92,81,54.1,3.55,83
ORD_000029,2023-12-08,SUP_009,PRD_0053,Pharma,South,131,173.19,6,6,7.81,362,53.1,0.86,105
ORD_000030,2023-07-30,SUP_013,PRD_0090,Electronics,West,29,172.0,10,10,1.78,942,22.3,12.4,78
ORD_000031,2023-04-25,SUP_007,PRD_0043,FMCG,North,152,71.53,3,4,4.08,1391,58.9,8.28,27
ORD_000032,2023-03-01,SUP_005,PRD_0005,Electronics,Central,232,70.45,11,11,6.29,893,37.2,7.92,118
ORD_000033,2023-10-23,SUP_012,PRD_0056,Electronics,Central,285,138.0,9,9,7.52,1373,13.4,6.75,190
ORD_000034,2023-06-19,SUP_002,PRD_0093,FMCG,Central,168,134.04,13,14,2.61,1427,19.1,2.35,127
ORD_000035,2023-12-07,SUP_015,PRD_0023,Pharma,Central,164,82.4,15,17,6.67,622,18.6,6.73,168
ORD_000036,2023-11-07,SUP_008,PRD_0087,Apparel,Central,252,159.16,13,14,7.68,347,40.2,4.61,189
ORD_000037,2023-11-21,SUP_013,PRD_0031,FMCG,South,111,31.18,13,12,0.37,973,37.5,11.64,136
ORD_000038,2023-08-01,SUP_012,PRD_0050,Industrial,West,134,31.22,21,21,5.5,218,47.1,3.67,198
ORD_000039,2023-09-23,SUP_004,PRD_0016,Industrial,South,247,134.18,17,16,7.9,1219,20.4,11.45,133
ORD_000040,2023-11-10,SUP_015,PRD_0071,Industrial,South,253,91.11,19,19,6.01,1305,18.1,11.78,144
ORD_000041,2023-11-17,SUP_002,PRD_0092,FMCG,South,149,68.5,10,10,7.14,165,10.0,3.85,197
ORD_000042,2023-03-20,SUP_007,PRD_0043,Pharma,West,222,14.33,9,8,6.66,797,54.5,8.97,198
ORD_000043,2023-01-11,SUP_001,PRD_0046,FMCG,West,224,108.57,21,21,5.88,1235,54.1,7.58,89
ORD_000044,2023-08-12,SUP_006,PRD_0086,Industrial,South,249,184.07,18,17,7.85,1093,3.6,6.21,164
ORD_000045,2023-12-06,SUP_007,PRD_0018,Industrial,South,35,53.51,3,2,2.62,931,21.0,11.54,117
ORD_000046,2023-05-23,SUP_002,PRD_0061,Electronics,Central,36,199.98,16,16,2.8,1331,6.0,14.38,30
ORD_000047,2023-01-16,SUP_001,PRD_0080,Apparel,South,74,95.77,10,10,0.92,446,29.0,4.22,114
ORD_000048,2023-03-27,SUP_003,PRD_0040,Electronics,Central,23,185.92,6,8,4.61,768,25.0,10.87,39
ORD_000049,2023-10-31,SUP_013,PRD_0039,Pharma,North,299,156.96,10,9,2.78,877,40.4,1.5,185
ORD_000050,2023-06-24,SUP_014,PRD_0063,Electronics,West,195,127.85,3,7,6.63,1448,10.9,3.05,153
ORD_000051,2023-11-30,SUP_015,PRD_0069,Industrial,West,233,165.5,11,12,4.74,660,51.4,12.55,42
ORD_000052,2023-05-23,SUP_008,PRD_0073,Pharma,West,182,7.68,17,17,6.81,372,30.3,5.64,86
ORD_000053,2023-06-24,SUP_012,PRD_0036,Pharma,North,274,189.72,11,15,0.68,1474,25.6,8.55,81
ORD_000054,2023-12-20,SUP_008,PRD_0058,Electronics,North,160,45.88,18,19,5.53,627,40.5,5.85,161
ORD_000055,2023-09-29,SUP_012,PRD_0071,FMCG,East,242,55.64,14,14,2.01,247,43.8,5.08,157
ORD_000056,2023-12-20,SUP_012,PRD_0062,FMCG,Central,278,120.16,8,8,7.84,397,19.2,5.73,97
ORD_000057,2023-01-08,SUP_001,PRD_0007,Pharma,East,74,128.3,20,20,6.02,210,52.6,8.82,140
ORD_000058,2023-09-03,SUP_001,PRD_0033,Industrial,North,43,81.34,17,17,0.59,1289,41.8,2.7,164
ORD_000059,2023-06-05,SUP_002,PRD_0072,Industrial,Central,125,155.59,5,12,3.04,906,19.2,9.03,129
ORD_000060,2023-06-06,SUP_010,PRD_0095,Electronics,South,118,54.4,21,22,0.65,491,12.1,1.59,20
ORD_000061,2023-07-29,SUP_008,PRD_0038,Electronics,South,157,141.98,17,19,5.62,929,6.1,3.88,87
ORD_000062,2023-11-17,SUP_015,PRD_0026,Industrial,North,288,46.51,21,22,1.19,544,49.9,1.54,62
ORD_000063,2023-06-07,SUP_008,PRD_0016,Industrial,East,216,188.65,21,25,4.0,1011,27.4,9.17,130
ORD_000064,2023-06-15,SUP_004,PRD_0087,Pharma,Central,20,199.92,11,10,5.38,551,35.4,11.57,64
ORD_000065,2023-08-29,SUP_015,PRD_0036,Apparel,Central,233,127.69,19,20,3.93,186,29.3,6.42,102
ORD_000066,2023-12-10,SUP_006,PRD_0053,Industrial,East,215,163.09,6,10,4.4,931,7.1,4.16,49
ORD_000067,2023-07-26,SUP_001,PRD_0085,Pharma,West,221,12.73,19,21,4.15,1275,45.9,9.57,33
ORD_000068,2023-04-15,SUP_015,PRD_0037,Industrial,West,72,7.72,11,12,5.04,490,43.2,5.01,23
ORD_000069,2023-10-10,SUP_014,PRD_0015,Industrial,North,88,100.68,16,15,5.73,1042,42.9,6.52,143
ORD_000070,2023-08-30,SUP_003,PRD_0050,Apparel,Central,270,149.77,10,11,1.09,142,18.0,11.96,126
ORD_000071,2023-06-24,SUP_001,PRD_0037,FMCG,Central,260,173.32,19,19,3.57,991,22.0,8.5,159
ORD_000072,2023-07-13,SUP_014,PRD_0025,Apparel,Central,206,48.25,17,21,6.2,89,20.5,7.36,117
ORD_000073,2023-07-17,SUP_001,PRD_0017,Pharma,Central,179,174.2,7,8,6.99,901,7.8,13.7,23
ORD_000074,2023-03-15,SUP_003,PRD_0010,Industrial,East,183,125.41,16,20,3.18,164,51.4,12.86,156
ORD_000075,2023-07-14,SUP_015,PRD_0098,Industrial,Central,28,124.26,13,14,1.88,1401,55.4,14.96,43
ORD_000076,2023-08-11,SUP_012,PRD_0013,Industrial,South,163,180.88,6,8,0.37,114,19.0,5.94,57
ORD_000077,2023-05-06,SUP_011,PRD_0024,Apparel,South,50,122.68,19,19,3.06,1399,16.0,13.74,56
ORD_000078,2023-04-29,SUP_008,PRD_0033,Electronics,West,157,136.17,17,18,1.26,904,56.8,14.82,96
ORD_000079,2023-11-24,SUP_008,PRD_0039,Apparel,West,257,23.12,16,18,3.05,735,35.3,14.89,95
ORD_000080,2023-01-12,SUP_010,PRD_0088,Electronics,Central,264,166.9,15,15,7.22,471,37.2,5.61,182
ORD_000081,2023-04-08,SUP_012,PRD_0099,Apparel,North,30,63.17,11,13,3.53,1186,23.2,2.41,95
ORD_000082,2023-06-17,SUP_003,PRD_0070,FMCG,Central,266,182.87,16,16,6.64,526,55.0,14.19,95
ORD_000083,2023-06-23,SUP_002,PRD_0019,Apparel,West,295,74.42,6,7,6.33,28,17.3,2.29,114
ORD_000084,2023-12-11,SUP_014,PRD_0082,FMCG,North,129,95.35,11,12,4.96,1149,21.0,9.35,185
ORD_000085,2023-02-02,SUP_005,PRD_0084,Industrial,North,81,10.98,17,21,0.3,1008,8.7,3.9,157
ORD_000086,2023-03-11,SUP_011,PRD_0096,Pharma,West,89,177.31,15,16,5.24,1002,37.7,14.12,91
ORD_000087,2023-01-17,SUP_008,PRD_0031,FMCG,North,198,109.8,14,14,7.82,734,5.5,4.5,51
ORD_000088,2023-08-21,SUP_011,PRD_0082,Pharma,North,35,157.79,5,6,1.95,257,47.6,3.48,161
ORD_000089,2023-04-17,SUP_014,PRD_0030,FMCG,South,11,56.9,21,21,7.87,266,33.3,12.08,48
ORD_000090,2023-12-05,SUP_006,PRD_0031,Pharma,East,18,36.5,3,3,0.42,862,32.5,11.31,141
ORD_000091,2023-08-18,SUP_002,PRD_0058,Pharma,South,32,145.99,14,15,7.27,1349,32.2,7.14,27
ORD_000092,2023-02-01,SUP_007,PRD_0088,Electronics,West,237,16.55,18,22,0.65,1245,10.6,2.33,179
ORD_000093,2023-11-21,SUP_006,PRD_0049,Pharma,Central,160,91.84,21,22,4.84,203,48.0,2.16,187
ORD_000094,2023-11-30,SUP_004,PRD_0056,Industrial,South,221,69.11,20,22,3.63,851,44.3,5.03,100
ORD_000095,2023-12-07,SUP_003,PRD_0088,Industrial,North,56,166.69,11,11,0.75,197,45.2,5.9,53
ORD_000096,2023-10-12,SUP_009,PRD_0072,FMCG,North,220,72.01,4,5,5.32,866,52.3,10.96,93
ORD_000097,2023-11-04,SUP_010,PRD_0065,Apparel,South,256,46.4,12,12,0.87,1139,23.3,11.56,166
ORD_000098,2023-04-26,SUP_013,PRD_0080,Pharma,Central,23,122.58,16,20,5.26,1420,17.5,3.12,199
ORD_000099,2023-06-08,SUP_003,PRD_0019,Pharma,West,45,30.09,13,13,5.07,62,7.3,8.19,116
ORD_000100,2023-08-03,SUP_006,PRD_0040,FMCG,Central,53,176.9,17,17,1.24,1265,4.9,1.68,133
ORD_000101,2023-12-05,SUP_008,PRD_0054,FMCG,South,272,24.54,16,17,3.44,580,41.3,9.1,154
ORD_000102,2023-12-08,SUP_007,PRD_0077,Electronics,North,114,61.68,12,11,1.69,281,46.3,4.7,50
ORD_000103,2023-01-04,SUP_003,PRD_0017,Industrial,Central,127,101.05,18,20,6.67,725,6.2,13.0,30
ORD_000104,2023-08-12,SUP_002,PRD_0041,Pharma,West,217,142.48,3,4,3.34,235,25.5,14.51,63
ORD_000105,2023-11-13,SUP_015,PRD_0047,Electronics,West,64,50.18,17,19,4.71,1073,6.6,13.12,106
ORD_000106,2023-04-24,SUP_002,PRD_0066,Electronics,Central,271,40.39,13,15,6.21,719,44.2,12.37,57
ORD_000107,2023-05-01,SUP_004,PRD_0023,Pharma,South,48,37.07,6,6,6.18,1011,28.9,8.67,168
ORD_000108,2023-08-18,SUP_010,PRD_0042,FMCG,South,235,15.52,21,22,3.54,620,48.2,9.08,110
ORD_000109,2023-09-17,SUP_008,PRD_0005,Electronics,East,156,17.19,5,5,6.91,184,37.7,7.85,138
ORD_000110,2023-10-25,SUP_012,PRD_0006,Industrial,Central,106,65.66,20,27,3.81,308,57.5,7.03,107
ORD_000111,2024-01-01,SUP_003,PRD_0006,Apparel,West,234,105.77,5,6,4.88,745,23.6,4.6,124
ORD_000112,2023-06-23,SUP_011,PRD_0043,Electronics,East,58,112.48,4,6,3.09,516,44.0,10.02,174
ORD_000113,2023-03-18,SUP_011,PRD_0019,FMCG,East,210,27.53,13,12,5.67,173,20.0,5.96,104
ORD_000114,2023-03-07,SUP_011,PRD_0055,Pharma,East,19,73.79,19,18,1.44,438,21.8,11.61,69
ORD_000115,2023-04-26,SUP_005,PRD_0013,Pharma,Central,279,9.47,7,7,2.69,1265,9.6,5.96,61
ORD_000116,2023-04-03,SUP_001,PRD_0053,FMCG,South,237,122.9,8,10,6.02,919,15.6,3.97,140
ORD_000117,2023-04-10,SUP_010,PRD_0057,Industrial,East,205,101.58,14,16,3.35,331,49.4,12.12,55
ORD_000118,2023-05-09,SUP_014,PRD_0048,Pharma,North,274,170.53,4,5,2.28,328,17.8,13.63,57
ORD_000119,2023-08-12,SUP_004,PRD_0058,FMCG,North,222,12.54,5,12,4.02,482,24.4,1.68,77
ORD_000120,2023-01-15,SUP_014,PRD_0092,FMCG,South,80,9.58,13,17,7.34,967,42.4,2.51,200
ORD_000121,2023-08-29,SUP_015,PRD_0011,Electronics,East,120,167.32,17,18,4.39,1489,37.3,6.64,93
ORD_000122,2023-05-02,SUP_004,PRD_0054,Pharma,West,42,23.95,12,12,7.24,1222,33.1,9.66,167
ORD_000123,2023-05-04,SUP_001,PRD_0079,FMCG,South,223,39.09,7,7,5.35,1072,58.5,1.48,154
ORD_000124,2023-10-06,SUP_009,PRD_0071,Electronics,West,250,10.62,19,21,3.1,764,16.7,0.74,37
ORD_000125,2023-06-26,SUP_011,PRD_0014,Pharma,East,78,10.78,10,12,4.37,1316,12.2,11.8,138
ORD_000126,2023-12-23,SUP_013,PRD_0018,Electronics,West,28,60.1,18,19,0.35,408,53.4,5.08,99
ORD_000127,2023-09-21,SUP_009,PRD_0061,FMCG,North,107,58.65,15,22,6.9,97,52.2,5.31,51
ORD_000128,2023-07-08,SUP_012,PRD_0057,Industrial,East,105,100.25,16,20,3.98,1063,17.5,1.7,128
ORD_000129,2023-02-10,SUP_014,PRD_0024,Pharma,East,174,22.31,16,17,2.62,605,19.8,9.24,129
ORD_000130,2023-03-27,SUP_001,PRD_0094,FMCG,Central,232,56.36,17,17,7.84,117,6.4,9.74,113
ORD_000131,2023-09-20,SUP_003,PRD_0078,Industrial,North,74,15.31,8,15,6.23,750,23.0,14.27,28
ORD_000132,2023-11-06,SUP_006,PRD_0048,Industrial,North,80,106.83,7,9,3.18,1330,18.2,14.43,26
ORD_000133,2023-04-06,SUP_015,PRD_0072,Electronics,East,143,141.4,18,19,1.72,1253,18.6,13.79,145
ORD_000134,2023-04-13,SUP_002,PRD_0058,Apparel,West,54,162.48,6,6,7.74,654,40.7,10.79,160
ORD_000135,2023-10-05,SUP_014,PRD_0021,Apparel,East,270,46.4,12,16,7.88,284,15.7,7.66,112
ORD_000136,2023-10-11,SUP_013,PRD_0071,Apparel,Central,54,15.02,21,21,3.19,1468,43.7,8.12,124
ORD_000137,2023-10-22,SUP_006,PRD_0083,Electronics,West,248,136.66,5,5,2.76,1129,39.1,3.14,53
ORD_000138,2023-08-10,SUP_001,PRD_0016,Pharma,South,165,34.6,19,23,2.58,1452,15.1,14.24,152
ORD_000139,2023-05-26,SUP_011,PRD_0071,FMCG,South,165,123.66,5,5,0.75,1312,11.8,14.15,59
ORD_000140,2023-03-29,SUP_010,PRD_0006,Electronics,North,33,189.81,13,17,6.17,542,39.8,11.62,126
ORD_000141,2023-11-13,SUP_011,PRD_0070,FMCG,East,257,50.49,3,4,6.46,831,19.3,1.56,35
ORD_000142,2023-03-22,SUP_008,PRD_0027,FMCG,Central,83,63.89,17,17,5.75,707,58.6,2.4,114
ORD_000143,2023-09-21,SUP_004,PRD_0060,Electronics,East,240,51.09,20,19,0.77,594,56.8,13.03,127
ORD_000144,2023-05-08,SUP_015,PRD_0074,FMCG,South,91,100.66,8,10,4.12,1021,53.0,7.71,43
ORD_000145,2023-07-21,SUP_004,PRD_0028,Pharma,East,34,12.01,19,20,3.96,1339,41.0,4.64,22
ORD_000146,2023-02-25,SUP_005,PRD_0094,FMCG,West,197,10.96,16,16,0.41,1150,13.3,8.52,38
ORD_000147,2023-07-17,SUP_009,PRD_0036,Pharma,Central,70,27.48,19,20,0.77,764,48.1,5.42,113
ORD_000148,2023-03-15,SUP_007,PRD_0065,Electronics,North,29,29.13,9,10,2.66,970,32.1,2.66,151
ORD_000149,2023-03-13,SUP_006,PRD_0021,Industrial,Central,163,119.56,13,17,4.06,1043,32.9,10.78,96
ORD_000150,2023-09-01,SUP_011,PRD_0015,Industrial,Central,167,159.76,3,3,5.8,1409,38.5,9.16,87
ORD_000151,2023-12-02,SUP_012,PRD_0007,Pharma,West,97,105.8,21,22,5.77,778,10.6,10.37,28
ORD_000152,2023-10-21,SUP_008,PRD_0041,Industrial,South,221,138.72,6,6,3.28,1252,55.4,13.16,35
ORD_000153,2023-12-28,SUP_009,PRD_0042,Industrial,Central,202,64.12,7,8,1.39,1091,21.9,5.64,194
ORD_000154,2023-11-26,SUP_004,PRD_0032,FMCG,Central,162,46.52,11,12,7.78,609,46.7,10.72,196
ORD_000155,2023-12-27,SUP_006,PRD_0072,FMCG,East,72,115.55,18,18,4.35,808,49.5,14.34,57
ORD_000156,2023-05-29,SUP_012,PRD_0011,FMCG,West,141,149.97,4,4,1.71,1103,17.7,8.65,89
ORD_000157,2023-03-12,SUP_010,PRD_0031,Apparel,North,281,46.68,6,7,1.86,205,26.0,10.9,45
ORD_000158,2023-12-15,SUP_009,PRD_0021,Industrial,West,254,130.81,7,6,6.05,588,20.6,9.87,42
ORD_000159,2023-11-30,SUP_012,PRD_0093,Electronics,South,223,176.68,21,21,1.41,74,59.8,6.26,146
ORD_000160,2023-04-06,SUP_001,PRD_0039,Pharma,Central,64,185.83,12,16,2.68,930,59.4,8.38,146
ORD_000161,2023-03-10,SUP_004,PRD_0015,FMCG,South,244,130.36,19,20,5.75,28,44.7,11.97,165
ORD_000162,2023-12-12,SUP_014,PRD_0082,Industrial,West,273,66.93,9,9,3.21,195,12.7,2.54,102
ORD_000163,2023-05-08,SUP_004,PRD_0058,FMCG,East,164,117.33,3,3,4.58,535,39.9,10.55,35
ORD_000164,2023-12-08,SUP_003,PRD_0052,Pharma,East,70,128.46,6,7,7.53,752,37.6,3.68,54
ORD_000165,2023-09-02,SUP_010,PRD_0048,Industrial,Central,251,151.96,7,8,6.42,447,46.2,10.36,172
ORD_000166,2023-02-11,SUP_012,PRD_0047,Electronics,Central,67,14.23,19,20,4.38,1035,13.7,8.28,62
ORD_000167,2023-06-17,SUP_011,PRD_0027,Pharma,West,56,179.98,19,19,3.56,113,28.3,7.94,136
ORD_000168,2023-10-16,SUP_011,PRD_0040,Electronics,West,140,163.66,4,5,5.97,1184,6.2,6.64,199
ORD_000169,2023-02-02,SUP_015,PRD_0009,Industrial,North,156,82.96,20,27,6.15,1313,58.7,9.87,127
ORD_000170,2023-07-11,SUP_015,PRD_0049,Industrial,North,286,28.33,15,16,6.88,242,12.4,8.29,155
ORD_000171,2023-03-07,SUP_013,PRD_0003,FMCG,West,288,85.98,10,14,3.03,470,16.4,5.52,90
ORD_000172,2023-04-07,SUP_011,PRD_0054,Pharma,North,133,42.8,6,5,0.81,68,27.9,10.24,32
ORD_000173,2023-05-06,SUP_004,PRD_0070,Apparel,North,81,101.77,4,4,2.31,1498,35.4,8.87,192
ORD_000174,2023-06-14,SUP_003,PRD_0085,Pharma,South,221,61.5,10,10,0.49,1211,53.0,13.72,180
ORD_000175,2023-12-14,SUP_001,PRD_0045,Industrial,Central,173,139.87,16,17,3.27,614,23.8,11.44,141
ORD_000176,2023-05-04,SUP_012,PRD_0019,Industrial,North,297,83.71,10,10,3.33,1085,9.8,4.02,72
ORD_000177,2023-06-19,SUP_014,PRD_0048,Electronics,Central,107,12.2,5,9,3.02,1238,37.0,13.17,68
ORD_000178,2023-10-28,SUP_004,PRD_0043,FMCG,North,118,187.56,20,20,7.7,240,45.3,11.44,82
ORD_000179,2023-12-23,SUP_004,PRD_0071,FMCG,East,204,94.32,9,9,5.19,631,17.2,7.94,147
ORD_000180,2023-08-27,SUP_012,PRD_0061,FMCG,South,199,63.96,6,8,0.37,453,45.0,0.74,161
ORD_000181,2023-10-27,SUP_005,PRD_0020,Apparel,East,127,77.21,21,23,6.67,1022,33.9,14.18,106
ORD_000182,2023-05-12,SUP_011,PRD_0095,Industrial,West,96,147.09,18,25,2.82,286,43.8,7.58,158
ORD_000183,2023-11-25,SUP_014,PRD_0010,Electronics,North,221,29.22,4,5,5.05,139,43.0,0.63,149
ORD_000184,2023-08-22,SUP_011,PRD_0086,Pharma,West,259,5.11,14,13,4.26,842,2.7,8.18,90
ORD_000185,2023-10-02,SUP_014,PRD_0090,Industrial,South,64,183.77,12,11,4.2,493,13.1,8.13,110
ORD_000186,2023-05-17,SUP_007,PRD_0059,Pharma,South,125,61.39,15,14,6.62,165,39.9,12.94,28
ORD_000187,2023-02-17,SUP_009,PRD_0061,Electronics,North,97,18.37,15,15,6.76,1320,47.5,8.7,44
ORD_000188,2023-09-28,SUP_015,PRD_0089,Pharma,West,148,11.22,4,4,0.59,574,54.2,8.67,28
ORD_000189,2023-04-02,SUP_004,PRD_0076,Apparel,West,49,61.26,13,12,4.51,1160,50.4,6.14,158
ORD_000190,2023-06-19,SUP_003,PRD_0089,Electronics,Central,187,12.63,15,17,3.5,155,21.8,11.65,172
ORD_000191,2023-07-23,SUP_005,PRD_0058,Industrial,South,192,111.5,13,12,3.0,380,41.4,10.08,41
ORD_000192,2023-11-13,SUP_012,PRD_0010,Electronics,East,88,77.24,12,14,6.27,315,44.9,5.09,47
ORD_000193,2023-02-16,SUP_008,PRD_0047,FMCG,North,77,19.28,3,7,3.45,1140,34.2,6.42,26
ORD_000194,2023-02-15,SUP_010,PRD_0077,FMCG,West,16,59.79,14,15,3.1,173,44.0,8.61,82
ORD_000195,2023-10-20,SUP_007,PRD_0022,Apparel,East,164,55.14,19,19,1.17,342,27.2,6.61,143
ORD_000196,2023-02-09,SUP_004,PRD_0093,Industrial,Central,110,92.66,14,14,1.08,13,57.0,5.32,178
ORD_000197,2023-07-14,SUP_007,PRD_0084,Pharma,South,163,65.49,13,13,7.58,411,29.8,3.08,121
ORD_000198,2023-06-13,SUP_011,PRD_0063,Pharma,South,176,76.46,12,14,6.53,804,23.2,14.01,71
ORD_000199,2023-10-31,SUP_013,PRD_0071,Electronics,West,117,88.81,20,20,2.33,1418,6.0,12.79,124
ORD_000200,2023-12-11,SUP_005,PRD_0031,FMCG,South,226,158.24,18,18,0.59,1224,29.8,6.31,149
ORD_000201,2023-12-21,SUP_013,PRD_0047,Pharma,Central,53,23.66,16,17,1.99,1361,22.6,9.88,31
ORD_000202,2023-10-16,SUP_006,PRD_0056,Electronics,North,60,53.23,15,22,4.09,1062,34.4,10.47,76
ORD_000203,2023-08-17,SUP_013,PRD_0087,Pharma,Central,87,70.3,14,14,0.2,214,19.1,13.85,41
ORD_000204,2023-03-01,SUP_006,PRD_0059,Apparel,Central,257,70.96,7,7,0.78,1478,42.4,5.12,96
ORD_000205,2023-01-23,SUP_006,PRD_0083,Electronics,South,134,104.17,6,5,4.42,677,34.5,14.4,79
ORD_000206,2023-07-27,SUP_011,PRD_0056,Industrial,North,111,91.02,8,8,3.44,9,42.9,3.48,200
ORD_000207,2023-02-02,SUP_014,PRD_0069,Apparel,East,176,41.02,21,20,0.91,1373,52.0,8.15,183
ORD_000208,2023-06-10,SUP_010,PRD_0015,FMCG,East,244,124.24,15,16,6.51,1445,48.4,13.82,171
ORD_000209,2023-02-13,SUP_004,PRD_0040,Electronics,South,201,139.3,7,7,4.09,856,36.6,8.83,128
ORD_000210,2023-04-06,SUP_012,PRD_0083,Apparel,Central,95,98.95,18,19,1.12,644,50.8,9.48,111
ORD_000211,2023-01-05,SUP_014,PRD_0050,Pharma,Central,263,83.01,18,18,3.93,1454,50.7,7.59,41
ORD_000212,2023-10-17,SUP_004,PRD_0038,Electronics,East,125,108.45,3,5,1.35,936,34.8,11.7,146
ORD_000213,2023-10-09,SUP_002,PRD_0035,Pharma,East,287,164.88,19,19,0.33,1472,27.6,3.67,128
ORD_000214,2023-02-22,SUP_001,PRD_0058,FMCG,East,54,88.94,10,10,7.95,485,14.2,11.2,196
ORD_000215,2023-06-29,SUP_003,PRD_0027,Apparel,North,189,107.39,16,16,4.77,344,20.8,10.71,94
ORD_000216,2023-10-21,SUP_009,PRD_0087,Electronics,South,220,183.92,11,18,7.94,1343,9.4,13.06,83
ORD_000217,2023-03-16,SUP_013,PRD_0087,Industrial,West,82,116.33,13,15,2.15,848,23.8,1.59,43
ORD_000218,2023-07-26,SUP_012,PRD_0048,Industrial,West,177,117.23,19,21,6.95,1500,7.4,14.6,182
ORD_000219,2023-12-07,SUP_013,PRD_0069,Industrial,South,229,165.32,14,18,3.96,661,50.0,5.4,167
ORD_000220,2023-03-08,SUP_013,PRD_0044,Electronics,North,60,125.98,21,25,6.69,33,9.2,12.94,132
ORD_000221,2023-08-22,SUP_007,PRD_0026,Apparel,East,91,175.14,3,10,7.01,191,40.0,4.13,115
ORD_000222,2023-12-07,SUP_011,PRD_0040,Apparel,West,56,141.33,8,7,0.01,976,6.5,9.11,152
ORD_000223,2023-12-15,SUP_012,PRD_0044,Electronics,West,77,96.58,17,16,1.83,182,44.4,1.99,100
ORD_000224,2023-07-08,SUP_013,PRD_0097,Apparel,South,45,107.04,12,12,0.07,1331,11.5,5.59,74
ORD_000225,2023-11-18,SUP_010,PRD_0088,Industrial,South,54,179.53,7,11,1.12,252,36.2,6.07,129
ORD_000226,2023-06-11,SUP_011,PRD_0011,Apparel,Central,155,156.24,7,7,5.52,1348,52.8,3.48,175
ORD_000227,2023-09-18,SUP_005,PRD_0083,Electronics,South,263,78.41,9,11,1.93,1306,36.4,8.16,23
